Unnamed: 0, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai,cluster
1511,1998.0,0.0,Hồ Chí Minh,MMTT0001,MMT&TT,0,11.0,D480102,0.0,22.0,0.8494845360824743,0.736842105263158,0.897489539748954,8.2,8.04,8.34,8.05,0.0,0.0,9.5,0.0,0.0,0.2727272727272727,17,21,19,21,20,19,20,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,81,90,90,85,85,95,100,2,6
709,1996.0,1.0,Hồ Chí Minh,KTPM0001,CNPM,0,9.0,D480103,-1.0,-1.0,0.9340206185567012,0.8916408668730651,0.9382845188284519,7.84,6.32,7.39,8.01,0.0,0.0,9.0,0.0,0.0,0.2727272727272727,17,22,21,24,17,15,15,155.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,83,78,83,73,60,68,76,2,6
2793,2001.0,1.0,Hồ Chí Minh,ATCL2019.1,MMT&TT,1,14.0,D480299,5.0,824.0,0.5896907216494846,0.7481940144478845,0.6956066945606695,7.45,8.07,7.49,8.58,0.0,0.0,0.0,0.0,0.0,0.0,20,19,17,22,21,16,16,142.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,6,6,6,6,6,83,90,100,90,100,100,100,0,7
0,1995.0,1.0,Hồ Chí Minh,KTPM0001,CNPM,0,8.0,D480103,0.0,31.0,0.6206185567010309,0.7254901960784315,0.6694560669456067,7.01,6.35,6.77,6.24,0.0,0.0,0.0,0.0,0.0,0.0,22,18,26,19,20,19,16,155.0,5.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,95,77,74,82,92,78,64,0,7
2413,1999.0,1.0,Gia Lai,KHCL2018.1,KHMT,1,13.0,D480101,0.0,20.5,0.5793814432989691,0.7296181630546956,0.8274058577405857,8.25,8.59,5.41,7.92,0.0,0.0,0.0,0.0,0.0,0.0,20,15,16,20,21,19,23,142.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,85,80,90,90,100,100,94,0,7
1674,1999.0,1.0,Đồng Nai,PMCL2017.3,CNPM,1,12.0,D480103,0.0,24.5,0.5989690721649484,0.7739938080495357,0.5679916317991631,7.34,6.33,6.27,6.87,0.0,0.0,0.0,0.0,0.0,0.0,20,20,23,23,24,20,14,148.0,8.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4,4,4,4,5,5,6,6,6,6,80,75,80,75,81,72,77,0,7
392,1995.0,0.0,Nghệ An,ANTT2013,MMT&TT,0,8.0,D480299,0.0,26.0,0.6628865979381443,0.7275541795665635,0.7510460251046025,7.84,7.48,7.85,7.8,0.0,0.0,0.0,0.0,0.0,0.0,22,19,24,17,16,17,18,157.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,88,96,94,87,95,91,83,1,7
599,1996.0,0.0,Hồ Chí Minh,MMTT2014,MMT&TT,0,9.0,D480102,-1.0,-1.0,0.5515463917525774,0.6326109391124871,0.8221757322175732,8.06,7.82,8.01,7.88,8.13,7.1,0.0,0.5833333333333333,0.25,0.0,17,20,24,24,16,20,14,149.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,4,4,4,4,4,4,93,88,98,87,81,85,85,0,8
644,1996.0,1.0,Hồ Chí Minh,CNTT0001,KTTT,0,9.0,D480201,-1.0,-1.0,0.6453608247422681,0.7698658410732715,0.7238493723849372,7.23,8.15,7.6,7.92,9.74,8.0,0.0,0.5833333333333333,0.25,0.0,17,21,26,18,19,19,16,141.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,100,99,98,98,94,100,85,0,8
60,1995.0,1.0,Hồ Chí Minh,TMĐT2013,HTTT,0,8.0,D52480104,0.0,25.5,0.6701030927835052,0.6790505675954593,0.6161087866108786,7.99,8.01,6.11,6.85,7.0,8.3,0.0,0.5833333333333333,0.25,0.0,22,18,19,23,22,29,6,153.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,69,77,91,84,95,64,66,0,8
