, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,lop12_matinh,lop12_matruong,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai
43,1995.0,1.0,Sông Bé,MMTT2013,MMT&TT,0,8.0,D480102,0.0,27.0,44.0,3.0,7.57,6.84,7.9,8.09,8.14,8.02,8.72,0.0,0.0,0.0,0,0,0,22,19,20,21,16,19,15,149.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,4,4,4,4,4,4,97,100,100,100,100,90,83,1
44,1995.0,1.0,Bình Thuận,MMTT0001,MMT&TT,0,8.0,D480102,0.0,25.0,47.0,6.0,7.33,6.57,6.07,6.14,7.58,6.69,6.99,0.0,0.0,0.0,0,0,0,18,22,21,21,14,26,19,152.0,3.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,3,79,83,63,68,87,77,72,0
45,1993.0,1.0,Hà Nam Ninh,KHTN2013,KHMT,3,8.0,D480101,0.0,24.5,2.0,40.0,7.52,8.64,8.71,8.44,9.08,9.34,9.15,0.0,0.0,0.0,0,0,0,22,22,26,14,20,20,15,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,85,88,79,88,100,90,77,2
46,1995.0,1.0,Bình Định,KTPM0001,CNPM,0,8.0,D480103,0.0,28.5,37.0,1.0,6.3,6.5,6.58,6.54,4.86,5.55,4.91,7.0,0.0,0.0,8,0,0,22,22,19,15,11,17,20,155.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,94,89,100,81,80,80,58,0
47,1995.0,1.0,Đồng Nai,CNTT0001,KTTT,0,8.0,D480201,0.0,22.0,48.0,30.0,5.55,5.97,6.23,7.25,7.21,7.2,7.89,0.0,7.0,8.1,0,6,7,22,18,24,19,15,14,17,139.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,3,3,3,3,3,3,72,69,63,76,75,69,76,0
48,1995.0,1.0,Lâm Đồng,ANTT2013,MMT&TT,0,8.0,D480299,0.0,32.0,42.0,46.0,7.25,8.43,7.76,8.48,8.11,8.46,7.74,0.0,0.0,9.0,0,0,3,22,21,22,21,13,14,15,150.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,95,93,85,85,74,80,80,2
49,1995.0,1.0,Bình Thuận,KTPM0001,CNPM,0,8.0,D480103,0.0,27.5,47.0,9.0,6.32,7.63,7.62,7.43,5.53,5.65,5.43,8.0,0.0,8.5,3,0,3,22,19,25,25,15,19,14,157.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,85,86,83,83,65,67,66,0
50,1995.0,1.0,Bà Rịa - Bà Rịa - Vũng Tàu,KHTN2013,KHMT,3,8.0,D480101,0.0,27.0,52.0,14.0,6.61,7.84,8.24,8.49,8.75,8.38,8.89,0.0,0.0,0.0,0,0,0,22,19,25,18,16,16,15,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,91,78,98,84,100,85,75,2
51,1995.0,1.0,Đồng Nai,MMTT0001,MMT&TT,0,8.0,D480102,0.0,26.0,48.0,18.0,6.33,5.39,6.62,6.98,6.76,6.87,7.12,0.0,7.1,0.0,0,4,0,18,18,21,26,18,23,18,152.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,3,4,4,4,93,74,85,83,76,77,64,0
52,1995.0,1.0,Hồ Chí Minh,KTPM2013,CNPM,0,8.0,D480103,0.0,29.0,2.0,16.0,6.43,7.63,7.75,8.05,8.0,7.55,6.75,0.0,0.0,0.0,0,0,0,22,19,22,21,19,21,16,157.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,72,76,87,79,86,74,66,1
